file,werewolf_archetype,villager_team,winner,villagers_win
TEMP.json,(unknown),default,,False
game_5agents_2rounds_Chaos Agent__vg_Analyst_run1.json,Chaos Agent,Analyst,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Analyst_run10.json,Chaos Agent,Analyst,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Analyst_run2.json,Chaos Agent,Analyst,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Analyst_run3.json,Chaos Agent,Analyst,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Analyst_run4.json,Chaos Agent,Analyst,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Analyst_run5.json,Chaos Agent,Analyst,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Analyst_run6.json,Chaos Agent,Analyst,werewolves,False
game_5agents_2rounds_Chaos Agent__vg_Analyst_run7.json,Chaos Agent,Analyst,werewolves,False
game_5agents_2rounds_Chaos Agent__vg_Analyst_run8.json,Chaos Agent,Analyst,werewolves,False
game_5agents_2rounds_Chaos Agent__vg_Analyst_run9.json,Chaos Agent,Analyst,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Consensus-Builder_run1.json,Chaos Agent,Consensus-Builder,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Consensus-Builder_run2.json,Chaos Agent,Consensus-Builder,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Consensus-Builder_run3.json,Chaos Agent,Consensus-Builder,werewolves,False
game_5agents_2rounds_Chaos Agent__vg_Consensus-Builder_run4.json,Chaos Agent,Consensus-Builder,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Consensus-Builder_run5.json,Chaos Agent,Consensus-Builder,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Consensus-Builder_run6.json,Chaos Agent,Consensus-Builder,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Consensus-Builder_run7.json,Chaos Agent,Consensus-Builder,,False
game_5agents_2rounds_Chaos Agent__vg_Interrogator_run1.json,Chaos Agent,Interrogator,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Interrogator_run10.json,Chaos Agent,Interrogator,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Interrogator_run2.json,Chaos Agent,Interrogator,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Interrogator_run3.json,Chaos Agent,Interrogator,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Interrogator_run4.json,Chaos Agent,Interrogator,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Interrogator_run5.json,Chaos Agent,Interrogator,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Interrogator_run6.json,Chaos Agent,Interrogator,werewolves,False
game_5agents_2rounds_Chaos Agent__vg_Interrogator_run7.json,Chaos Agent,Interrogator,villagers,True
game_5agents_2rounds_Chaos Agent__vg_Interrogator_run8.json,Chaos Agent,Interrogator,werewolves,False
game_5agents_2rounds_Chaos Agent__vg_Interrogator_run9.json,Chaos Agent,Interrogator,villagers,True
